,0,1,2,3,4
106,"""FnB""","""Kaiju""","""Altius""","""Deagan's Kitchen & Bar""","""Lulu's Taco Shop"""
107,"""The Melting Pot-  Scottsdale""","""Soho Japanese Restaurant""","""Blue Adobe Grille""","""Dumpling House Restaurant""","""Angelo's Pizza"""
108,"""Barrio""","""Futo Buta""","""Blaze Fast-Fire'd Pizza""","""English Rose Tea Room""","""Postino Arcadia"""
109,"""Pisces Sushi Bar & Lounge""","""In-N-Out Burger""","""Butterfield's Pancake House""","""Tacos & Beer""","""Delices Gourmands French Bakery"""
110,"""Los Tacos""","""Charleston's""","""Eiffel Tower""","""Firefly""","""Liberty Market"""
111,"""Fat Heads Brewery and Saloon""","""Adamson Barbecue""","""Island Sushi & Grill""","""Pizza Brutta""","""Le Robin Square"""
112,"""Eiffel Tower""","""Javier's""","""Mi Peru South American Grill""","""Naked Fish's Sushi & Grill""","""Firefly"""
113,"""Yupha's Thai Kitchen""","""Ruth's Chris Steak House""","""Yummy Grill & Sushi""","""Trattoria Reggiano""","""Cibo"""
114,"""24 Carrots Juice Bar & Cafe""","""Adamson Barbecue""","""Butterfield's Pancake House""","""Le Robin Square""","""Salt Cellar"""
115,"""Le Robin Square""","""Hobak Korean BBQ""","""Cibo""","""Gyu-Kaku Japanese BBQ""","""Blaze Fast-Fire'd Pizza"""
116,"""Chilli Chicken House""","""Pastel Creperies & Dessert House""","""Butterfield's Pancake House""","""Soho Japanese Restaurant""","""Maker Pizza"""
117,"""The Melting Pot-  Scottsdale""","""Presti's Bakery""","""Tree Country Bistro""","""Angelo's Pizza""","""M&M Soul Food Cafe"""
118,"""Cafe Breizh""","""Hobak Korean BBQ""","""Due Forni""","""Guy Savoy""","""Other Mama"""
119,"""Frost Gelato""","""Firefly""","""Lucky's Café""","""Yupha's Thai Kitchen""","""Burrito Boyz"""
120,"""Chilli Chicken House""","""Tacos & Beer""","""Earls Kitchen + Bar""","""Blaze Fast-Fire'd Pizza""","""Momofuku Daish?"""
121,"""Rosallie""","""Izakaya Go""","""Burrito Boyz""","""Soho Japanese Restaurant""","""Butterfield's Pancake House"""
122,"""Fat Heads Brewery and Saloon""","""Burrito Boyz""","""Kaiju""","""Bannock""","""Cactus Club Cafe"""
123,"""Dumpling House Restaurant""","""Fat Heads Brewery and Saloon""","""Due Forni""","""The Herb Box""","""Blaze Fast-Fire'd Pizza"""
124,"""Joyride Taco House""","""Lucky's Café""","""Cactus Club Cafe""","""Streets of New York""","""Stacks & Yolks"""
125,"""Adamson Barbecue""","""Yummy Grill & Sushi""","""Original ChopShop""","""Le Robin Square""","""Grand Lux Cafe"""
126,"""Restaurant Chantecler""","""Cafe Breizh""","""Hobak Korean BBQ""","""Blaze Fast-Fire'd Pizza""","""Cartel Coffee Lab"""
127,"""The Fry Bread House""","""Angelo's Pizza""","""Due Forni""","""Presti's Bakery""","""DW Bistro"""
128,"""Burrito Boyz""","""Poke Guys""","""Kai""","""Guy Fieri's Vegas Kitchen & Bar""","""Cafe Crepe"""
129,"""Fukuburger Truck""","""The Barrymore""","""Barrio""","""Butterfield's Pancake House""","""Postino Arcadia"""
130,"""Layla Grill & Hookah""","""Pho Saigon 8""","""Eiffel Tower""","""Hobak Korean BBQ""","""Makai Pacific Island Grill"""
131,"""Cartel Coffee Lab""","""Liberty Market""","""Breakfast Club- CityScape""","""Cibo""","""Beckett's Table"""
132,"""Cactus Club Cafe""","""The Barrymore""","""Hobak Korean BBQ""","""Butterfield's Pancake House""","""Tacos & Beer"""
133,"""Butterfield's Pancake House""","""Makai Pacific Island Grill""","""Kaiju""","""Blaze Fast-Fire'd Pizza""","""Shangri-La Hotel"""
134,"""Original ChopShop""","""Pino's Pizza Al Centro""","""Dumpling House Restaurant""","""Barrio""","""Island Sushi & Grill"""
135,"""Beckett's Table""","""Butterfield's Pancake House""","""Bonchon Chicken""","""Postino Arcadia""","""Pita Jungle"""
136,"""Salt Cellar""","""Postino Arcadia""","""Miracle Mile Delicatessen""","""Cartel Coffee Lab""","""Liberty Market"""
137,"""Cheba Hut""","""Guy Savoy""","""Paymon's Mediterranean Cafe & Lounge""","""Monty's Blue Plate Diner""","""Pizza Brutta"""
138,"""Postino Arcadia""","""Poke Guys""","""Blue Adobe Grille""","""Yupha's Thai Kitchen""","""Cibo"""
139,"""Burrito Boyz""","""DW Bistro""","""Blaze Fast-Fire'd Pizza""","""Cartel Coffee Lab""","""Cibo"""
140,"""Firefly""","""BLT Burger""","""Grand Lux Cafe""","""N9NE Steakhouse""","""Javier's"""
141,"""Elegance Chinese Cuisine & Banquet""","""Bootleggers Modern American Smokehouse""","""FIKA""","""The Carbon Bar""","""Soho Japanese Restaurant"""
142,"""Bannock""","""Blaze Fast-Fire'd Pizza""","""Burrito Boyz""","""Kaiju""","""Cactus Club Cafe"""
143,"""Blaze Fast-Fire'd Pizza""","""Spago by Wolfgang Puck""","""Due Forni""","""Rolling in Dough Cafe""","""Soho Japanese Restaurant"""
144,"""Liberty Market""","""Hobak Korean BBQ""","""Beckett's Table""","""Yupha's Thai Kitchen""","""Gyu-Kaku Japanese BBQ"""
145,"""Poke Guys""","""Cafe Breizh""","""Ahipoki Bowl""","""Beckett's Table""","""Joe Beef"""
146,"""DW Bistro""","""Carmine's Pizza Kitchen""","""Fat Heads Brewery and Saloon""","""Bannock""","""Postino Arcadia"""
147,"""BARDOT Brasserie""","""Spago by Wolfgang Puck""","""Cactus Club Cafe""","""Ahipoki Bowl""","""Sidecar"""
148,"""Richardson's""","""Liberty Market""","""Postino Arcadia""","""FnB""","""Pita Jungle"""
149,"""Naked Fish's Sushi & Grill""","""Kid Cashew""","""Futo Buta""","""Pisces Sushi Bar & Lounge""","""Craft Tasting Room & Growler Shop"""
150,"""Island Sushi & Grill""","""Liberty Market""","""Barrio""","""DW Bistro""","""Sushi Catcher"""
151,"""Fat Heads Brewery and Saloon""","""L'Atelier de Joël Robuchon""","""Eiffel Tower""","""Bannock""","""BLT Burger"""
152,"""Pastel Creperies & Dessert House""","""Postino Arcadia""","""Beckett's Table""","""Angelo's Pizza""","""Dumpling House Restaurant"""
153,"""Ahipoki Bowl""","""Chon Thai Food""","""Sidecar""","""Cactus Club Cafe""","""Lucky's Café"""
154,"""Javier's""","""N9NE Steakhouse""","""The Barrymore""","""Postino Arcadia""","""Lucky's Café"""
155,"""Chilli Chicken House""","""Sidecar""","""N9NE Steakhouse""","""Paymon's Mediterranean Cafe & Lounge""","""L'Atelier de Joël Robuchon"""
156,"""Ahipoki Bowl""","""Eiffel Tower""","""Omelet House""","""Daily Kitchen Healthy Food & Juice Bar""","""Raising Cane's"""
157,"""Liberty Market""","""China Magic Noodle House""","""Kaiju""","""Yupha's Thai Kitchen""","""Blue Adobe Grille"""
158,"""Richardson's""","""Liberty Market""","""FnB""","""Postino Arcadia""","""Pita Jungle"""
159,"""Bannock""","""Electric Mud BBQ""","""Quiet Storm Vegetarian & Vegan Cafe""","""Liberty Market""","""Cibo"""
160,"""Yupha's Thai Kitchen""","""Ni Ji Sushi""","""Kaiju""","""Soho Japanese Restaurant""","""Burrito Boyz"""
161,"""Stacks & Yolks""","""Foundation Room""","""Other Mama""","""Makai Pacific Island Grill""","""DW Bistro"""
162,"""Blaze Fast-Fire'd Pizza""","""Butterfield's Pancake House""","""Bannock""","""Fat Heads Brewery and Saloon""","""Postino Arcadia"""
163,"""Spago by Wolfgang Puck""","""Javier's""","""Soho Japanese Restaurant""","""The Hummus Factory""","""Rolling in Dough Cafe"""
164,"""Ahipoki Bowl""","""Pho Saigon 8""","""Raising Cane's""","""Oregano's Pizza Bistro""","""Salt Cellar"""
165,"""Pastel Creperies & Dessert House""","""Spago by Wolfgang Puck""","""Taza A Lebanese Grill""","""Chompie's Deli""","""Angelo's Pizza"""
166,"""Umiya Sushi""","""Soho Japanese Restaurant""","""Sunrise House""","""Red Rocks Cafe""","""Postino Arcadia"""
167,"""Spork""","""Island Sushi & Grill""","""FIKA""","""Lucky's Café""","""Deagan's Kitchen & Bar"""
168,"""Joe Beef""","""Adamson Barbecue""","""Richardson's""","""Ahipoki Bowl""","""Le Macaron French Pastries"""
169,"""The Herb Box""","""Frost Gelato""","""Soho Japanese Restaurant""","""Other Mama""","""Due Forni"""
170,"""Makai Pacific Island Grill""","""Ocotillo""","""Hobak Korean BBQ""","""Firefly""","""Eiffel Tower"""
171,"""Gyu-Kaku Japanese BBQ""","""Javier's""","""Hobak Korean BBQ""","""The Barrymore""","""Soho Japanese Restaurant"""
172,"""FnB""","""Barrio""","""Postino Arcadia""","""Pita Jungle""","""Sonora Mesquite Grill"""
173,"""Archi's Thai Cafe""","""Liberty Market""","""Pita Jungle""","""Las Fuentes Mexican Grill""","""Beckett's Table"""
174,"""Cartel Coffee Lab""","""Musashi Japanese Steakhouse""","""Fat Heads Brewery and Saloon""","""Frost Gelato""","""Maharaja Restaurant"""
175,"""Kaiju""","""Cafe Crepe""","""Burrito Boyz""","""Umiya Sushi""","""Papi Queso"""
176,"""Burrito Boyz""","""Spago by Wolfgang Puck""","""Angelo's Pizza""","""Soho Japanese Restaurant""","""Yupha's Thai Kitchen"""
177,"""Chon Thai Food""","""M&M Soul Food Cafe""","""Lucky's Café""","""Spago by Wolfgang Puck""","""Hash Kitchen"""
178,"""The County General""","""Cibo""","""Restaurant Chantecler""","""Bolet's Burrito""","""Lola Coffee"""
179,"""The County General""","""Soho Japanese Restaurant""","""Ahipoki Bowl""","""Guy Fieri's Vegas Kitchen & Bar""","""Nobuo At Teeter House"""
180,"""Ahipoki Bowl""","""Lola Coffee""","""Foundation Room""","""Eiffel Tower""","""Bobby's Burger Palace"""
181,"""Blaze Fast-Fire'd Pizza""","""Pizza Brutta""","""Liberty Market""","""Pita Jungle""","""FnB"""
182,"""Cibo""","""Liberty Market""","""Cartel Coffee Lab""","""Ahipoki Bowl""","""Beckett's Table"""
183,"""Salt Cellar""","""Pho Cao""","""Craft 64""","""Grand Lux Cafe""","""Ocotillo"""
184,"""Liberty Market""","""Pa Pa Chang's""","""Hobak Korean BBQ""","""Gyu-Kaku Japanese BBQ""","""Cibo"""
185,"""Kaiju""","""Blaze Fast-Fire'd Pizza""","""Firefly""","""Hobak Korean BBQ""","""Adamson Barbecue"""
186,"""Ni Ji Sushi""","""Butterfield's Pancake House""","""Angelo's Pizza""","""The Barrymore""","""India Palace"""
187,"""Cibo""","""Eiffel Tower""","""Ahipoki Bowl""","""Aloha Kitchen & Bar""","""Foundation Room"""
188,"""Grand Lux Cafe""","""N9NE Steakhouse""","""Angelo's Pizza""","""Cactus Club Cafe""","""Rolling in Dough Cafe"""
189,"""Due Forni""","""Fukuburger Truck""","""Soho Japanese Restaurant""","""Spago by Wolfgang Puck""","""Other Mama"""
190,"""The Herb Box""","""Cibo""","""Cartel Coffee Lab""","""Blaze Fast-Fire'd Pizza""","""Foosia"""
191,"""Dumpling House Restaurant""","""Liberty Market""","""Petite Maison""","""Mikado Sushi""","""Frost Gelato"""
192,"""Futo Buta""","""Naked Fish's Sushi & Grill""","""Firefly""","""Royale Fine Dining Banquet""","""Cactus Club Cafe"""
193,"""Cibo""","""Modern  Grove""","""Liberty Market""","""Island Sushi & Grill""","""Le Robin Square"""
194,"""Other Mama""","""Grand Lux Cafe""","""Fukuburger Truck""","""DW Bistro""","""Makai Pacific Island Grill"""
195,"""Liberty Market""","""Chompie's Deli""","""Taza A Lebanese Grill""","""Angelo's Pizza""","""Presti's Bakery"""
196,"""School Restaurant""","""Pita Jungle""","""Angelo's Pizza""","""Liberty Market""","""Lucky's Café"""
197,"""Bannock""","""Soho Japanese Restaurant""","""Kaiju""","""Poke Guys""","""Lim Ga Ne"""
198,"""Pinches Tacos""","""Postino Arcadia""","""Pita Jungle""","""Richardson's""","""La Capital Tacos"""
199,"""Cartel Coffee Lab""","""Cafe Breizh""","""Cibo""","""Lola Coffee""","""Beckett's Table"""
200,"""Lucky's Café""","""Butterfield's Pancake House""","""The Barrymore""","""Fukuburger Truck""","""Sammy's Woodfired Pizza and Grill"""
201,"""Yupha's Thai Kitchen""","""Angelo's Pizza""","""Pita Jungle""","""Cibo""","""Postino Arcadia"""
202,"""Musashi Japanese Steakhouse""","""Archi's Thai Cafe""","""Due Forni""","""Fukuburger Truck""","""Other Mama"""
203,"""Monty's Blue Plate Diner""","""Black Cat Coffee House""","""Joe Beef""","""BARDOT Brasserie""","""Guy Fieri's Vegas Kitchen & Bar"""
204,"""Eiffel Tower""","""Petite Maison""","""DW Bistro""","""The Fry Bread House""","""Cibo"""
205,"""The Barrymore""","""DW Bistro""","""Fukuburger Truck""","""Lucky's Café""","""Makai Pacific Island Grill"""
206,"""Stacks & Yolks""","""Sushi Kaji Restaurant""","""Angelo's Pizza""","""Tommy V's Urban Kitchen & Bar""","""Benihana"""
207,"""Other Mama""","""Grand Lux Cafe""","""The Hummus Factory""","""Fukuburger Truck""","""Makai Pacific Island Grill"""
208,"""Big Dog's Draft House""","""L'Atelier de Joël Robuchon""","""Other Mama""","""Chang's Hong Kong Cuisine""","""Hobak Korean BBQ"""
209,"""Jardin""","""McCormick & Schmick's Seafood & Steaks""","""Hobak Korean BBQ""","""Eiffel Tower""","""Firefly"""
210,"""Bannock""","""Soho Japanese Restaurant""","""DW Bistro""","""Butterfield's Pancake House""","""Cactus Club Cafe"""
211,"""Lola Coffee""","""Salad King Restaurant""","""Bannock""","""Butterfield's Pancake House""","""Lucky's Café"""
212,"""Joyride Taco House""","""Barrio""","""Postino Arcadia""","""Mattie's Diner""","""DW Bistro"""
213,"""Lava Grill""","""Original ChopShop""","""The Barrymore""","""Butterfield's Pancake House""","""Lucky's Café"""
214,"""Layla Grill & Hookah""","""Pho Saigon 8""","""Paymon's Mediterranean Cafe & Lounge""","""Makai Pacific Island Grill""","""Raising Cane's"""
215,"""Deagan's Kitchen & Bar""","""Buddha Thai Bistro""","""Ahipoki Bowl""","""Kaiju""","""Chon Thai Food"""
216,"""Liberty Market""","""Beckett's Table""","""Frost Gelato""","""Charleston's""","""Lucky's Café"""
217,"""FIKA""","""Petite Maison""","""DW Bistro""","""The Fry Bread House""","""Lucky's Café"""
